met pensioen gaan;to retire
pensionering;retirement
in dienst hebben;to employ
werknemer;employee
werkgever;employer
werk;employment
werkloosheid;unemployment
werkloos;unemployed
gewend aan;accustomed to/used to
onderhandelen;to negotiate
onderhandeling;negotiation
fabriceren;to manufacture
fabrikant;manufacturer
de kost verdienen;to earn a living
middel van bestaan;livelihood
consultant/adviseur;consultant
adviesbureau;consultancy
vereisen;to require
vereiste;requirement
vaardigheid;skill
(on)geschoold personeel;(un)skilled staff/personnel
personeelschef/HR manager;personnel manager/HR manager
toezicht houden op;to supervise
toezicht;supervision
uitkering;benefit
recht hebben op;to be entitled to
inhouden/met zich meebrengen;to involve
